iso,adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,umd_tree_cover_loss_from_fires__ha
BRA,4,2001,81439.17301010557,5902.801956156868
BRA,4,2002,99140.45758245778,8720.363539133252
BRA,4,2003,102013.15718514557,8586.42194720395
BRA,4,2004,94389.26418105354,5612.747117121345
BRA,4,2005,174667.06212271188,13117.962882046708
BRA,4,2006,154847.8262822395,18857.83532904108
BRA,4,2007,89356.3449209971,9529.285143484321
BRA,4,2008,94494.939725563,8638.553062506657
BRA,4,2009,128265.96152917668,20081.27456770267
BRA,4,2010,150467.6868701027,36990.37161462075
BRA,4,2011,85825.84446129474,21154.45019359258
BRA,4,2012,163604.2673079045,25449.430013437373
BRA,4,2013,126022.043384891,12047.6071799341
BRA,4,2014,146342.98611744467,16281.01696267838
BRA,4,2015,156875.8643331073,24251.82767219925
BRA,4,2016,547520.4818469333,321719.4436012785
BRA,4,2017,263806.6163069948,62960.602293555006
BRA,4,2018,193802.13881026872,17438.647687406796
BRA,4,2019,215503.70091788712,22378.75306546528
BRA,4,2020,242978.07883169336,27399.0355496578
BRA,4,2021,313520.6805766389,42566.22016835852
BRA,4,2022,395727.42477483104,34721.60155801372
BRA,4,2023,331534.15802122524,114131.83722711293
