year,EVI
2001,0.4518931072043155
2002,0.4588242414878506
2003,0.4662381432758758
2004,0.4653579906033758
2005,0.4719062490920366
2006,0.4641188552127653
2007,0.4679324468311867
2008,0.4520316819281681
2009,0.4611782316964566
2010,0.4701467063975982
2011,0.470320481614745
2012,0.4661232625831086
2013,0.4670464821235427
2014,0.472249102511011
2015,0.4741618480075328
2016,0.4678578632356183
2017,0.4695007053714966
2018,0.4609406086585774
2019,0.4675079876121508
2020,0.4786289761216254
2021,0.4648400260785195
2022,0.4777277787518034
2023,0.4797766158595702
